EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-01-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, VALENCIA (STAID: 237).
Blended and updated with sources: 101025 908285 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
101025,19380101,    8,    0
101025,19380102,    8,    0
101025,19380103,    6,    0
101025,19380104,    8,    0
101025,19380105,    4,    0
101025,19380106,    0,    0
101025,19380107,    0,    0
101025,19380108,    7,    0
101025,19380109,    6,    0
101025,19380110,    7,    0
101025,19380111,    2,    0
101025,19380112,    5,    0
101025,19380113,    0,    0
101025,19380114,    1,    0
101025,19380115,    5,    0
101025,19380116,    5,    0
101025,19380117,    7,    0
101025,19380118,    2,    0
101025,19380119,    2,    0
101025,19380120,    1,    0
101025,19380121,    1,    0
101025,19380122,    4,    0
101025,19380123,    2,    0
101025,19380124,    0,    0
101025,19380125,    1,    0
101025,19380126,    1,    0
101025,19380127,    5,    0
101025,19380128,    5,    0
101025,19380129,    2,    0
101025,19380130,    4,    0
101025,19380131,    0,    0
101025,19380201,    1,    0
101025,19380202,    0,    0
101025,19380203,    0,    0
101025,19380204,    0,    0
101025,19380205,    1,    0
101025,19380206,    1,    0
101025,19380207,    2,    0
101025,19380208,    0,    0
101025,19380209,    3,    0
101025,19380210,    0,    0
101025,19380211,    0,    0
101025,19380212,    1,    0
101025,19380213,    3,    0
101025,19380214,    1,    0
101025,19380215,    2,    0
101025,19380216,    2,    0
101025,19380217,    1,    0
101025,19380218,    2,    0
101025,19380219,    3,    0
101025,19380220,    3,    0
101025,19380221,    3,    0
101025,19380222,    5,    0
101025,19380223,    6,    0
101025,19380224,    5,    0
101025,19380225,    7,    0
101025,19380226,    5,    0
101025,19380227,    5,    0
101025,19380228,    3,    0
101025,19380301,    2,    0
101025,19380302,    7,    0
101025,19380303,    6,    0
101025,19380304,    4,    0
101025,19380305,    7,    0
101025,19380306,    5,    0
101025,19380307,    0,    0
101025,19380308,    0,    0
101025,19380309,    4,    0
101025,19380310,    0,    0
