EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-01-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : humidity in 1 %
23-27 Q_HU : Quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, VALENCIA (STAID: 237).
Blended and updated with sources: 101026 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
101026,19390801,   76,    0
101026,19390802,   81,    0
101026,19390803,   80,    0
101026,19390804,   83,    0
101026,19390805,   74,    0
101026,19390806,   76,    0
101026,19390807,   79,    0
101026,19390808,   80,    0
101026,19390809,   83,    0
101026,19390810,   86,    0
101026,19390811,   82,    0
101026,19390812,   85,    0
101026,19390813,   84,    0
101026,19390814,   86,    0
101026,19390815,   79,    0
101026,19390816,   78,    0
101026,19390817,   80,    0
101026,19390818,   69,    0
101026,19390819,   78,    0
101026,19390820,   78,    0
101026,19390821,   80,    0
101026,19390822,   82,    0
101026,19390823,   86,    0
101026,19390824,   76,    0
101026,19390825,   67,    0
101026,19390826,   82,    0
101026,19390827,   75,    0
101026,19390828,   69,    0
101026,19390829,   74,    0
101026,19390830,   86,    0
101026,19390831,   80,    0
101026,19390901,   83,    0
101026,19390902,   85,    0
101026,19390903,   87,    0
101026,19390904,   77,    0
101026,19390905,   78,    0
101026,19390906,   84,    0
101026,19390907,   83,    0
101026,19390908,   81,    0
101026,19390909,   81,    0
101026,19390910,   68,    0
101026,19390911,   68,    0
101026,19390912,   76,    0
101026,19390913,   81,    0
101026,19390914,   82,    0
101026,19390915,   76,    0
101026,19390916,   70,    0
101026,19390917,   82,    0
101026,19390918,   84,    0
101026,19390919,   82,    0
101026,19390920,   83,    0
101026,19390921,   86,    0
101026,19390922,   92,    0
101026,19390923,   67,    0
101026,19390924,   74,    0
101026,19390925,   83,    0
101026,19390926,   79,    0
101026,19390927,   74,    0
101026,19390928,   85,    0
101026,19390929,   59,    0
101026,19390930,   55,    0
101026,19391001,   61,    0
101026,19391002,   76,    0
101026,19391003,   64,    0
101026,19391004,   63,    0
101026,19391005,   49,    0
101026,19391006,   50,    0
101026,19391007,   51,    0
101026,19391008,   62,    0
101026,19391009,   60,    0
101026,19391010,   76,    0
101026,19391011,   71,    0
101026,19391012,   66,    0
101026,19391013,   57,    0
101026,19391014,   43,    0
101026,19391015,   66,    0
101026,19391016,   76,    0
101026,19391017,   85,    0
101026,19391018,   82,    0
101026,19391019,   69,    0
101026,19391020,   73,    0
101026,19391021,   94,    0
101026,19391022,   92,    0
101026,19391023,   97,    0
101026,19391024,   78,    0
101026,19391025,   88,    0
101026,19391026,   66,    0
101026,19391027,   62,    0
101026,19391028,   44,    0
101026,19391029,   61,    0
101026,19391030,   82,    0
101026,19391031,   82,    0
101026,19391101,   78,    0
101026,19391102,   74,    0
101026,19391103,   88,    0
101026,19391104,   65,    0
101026,19391105,   65,    0
101026,19391106,   59,    0
101026,19391107,   79,    0
101026,19391108,   91,    0
101026,19391109,   87,    0
101026,19391110,   92,    0
101026,19391111,   88,    0
101026,19391112,   84,    0
101026,19391113,   85,    0
101026,19391114,   74,    0
101026,19391115,   63,    0
101026,19391116,   68,    0
101026,19391117,-9999,    9
101026,19391118,   78,    0
101026,19391119,   60,    0
101026,19391120,   56,    0
101026,19391121,   56,    0
101026,19391122,   59,    0
101026,19391123,   62,    0
101026,19391124,   60,    0
101026,19391125,   72,    0
101026,19391126,   70,    0
101026,19391127,   74,    0
101026,19391128,   75,    0
101026,19391129,   72,    0
101026,19391130,   70,    0
101026,19391201,   67,    0
101026,19391202,   70,    0
101026,19391203,   61,    0
101026,19391204,   59,    0
101026,19391205,   58,    0
101026,19391206,   50,    0
101026,19391207,   42,    0
101026,19391208,   53,    0
101026,19391209,   68,    0
101026,19391210,   68,    0
101026,19391211,   49,    0
101026,19391212,   48,    0
101026,19391213,   55,    0
101026,19391214,   54,    0
101026,19391215,   72,    0
101026,19391216,   63,    0
101026,19391217,   90,    0
101026,19391218,   84,    0
101026,19391219,   72,    0
101026,19391220,   63,    0
101026,19391221,   64,    0
101026,19391222,   84,    0
101026,19391223,   79,    0
101026,19391224,   92,    0
101026,19391225,   94,    0
101026,19391226,   92,    0
101026,19391227,   78,    0
101026,19391228,   65,    0
101026,19391229,   64,    0
101026,19391230,   70,    0
101026,19391231,   84,    0
101026,19400101,   93,    0
101026,19400102,   88,    0
101026,19400103,   80,    0
101026,19400104,   74,    0
101026,19400105,   68,    0
101026,19400106,   74,    0
101026,19400107,   79,    0
101026,19400108,   92,    0
101026,19400109,   58,    0
101026,19400110,   65,    0
101026,19400111,   74,    0
101026,19400112,   87,    0
101026,19400113,   86,    0
101026,19400114,   82,    0
101026,19400115,   69,    0
101026,19400116,   58,    0
101026,19400117,   58,    0
101026,19400118,   52,    0
101026,19400119,   65,    0
101026,19400120,   57,    0
101026,19400121,   62,    0
101026,19400122,   82,    0
101026,19400123,   63,    0
101026,19400124,   54,    0
101026,19400125,   60,    0
101026,19400126,   64,    0
101026,19400127,   70,    0
101026,19400128,   72,    0
101026,19400129,   83,    0
101026,19400130,   62,    0
101026,19400131,   66,    0
101026,19400201,   65,    0
101026,19400202,   72,    0
101026,19400203,   61,    0
101026,19400204,   63,    0
101026,19400205,   90,    0
101026,19400206,   80,    0
101026,19400207,   72,    0
